magnitude,longitude,latitude
1.77,-155.258331298828,19.3778324127197
1.78,-155.25700378418,19.3850002288818
2,-104.505,31.627
1.26,-122.804496765137,38.8173332214355
1.1,-147.3806,64.5006
2.52,-66.9463333333333,17.9155
0.49,-121.76833333333333,46.84866666666667
0.27,-122.735496520996,38.7976684570312
0.76,-122.852165222168,38.8235015869141
1.77,-155.240005493164,19.3758335113525
0.74,-122.80883026123,38.8186683654785
0.56,-117.5673333,35.7528333
2.07,-97.39216667,35.6625
0.33,-177.1205,51.8985
0.9,-149.713,62.9219
1.14,-121.964332580566,37.9006652832031
0.97,-117.6918333,35.9255
0.77,-117.6928333,35.9216667
0.74,-122.806831359863,38.8344993591309
2.07,-117.2341667,34.0296667
0.87,-117.1393333,33.3316667
-0.09,-154.995833333333,58.306
1.1,-149.147,62.8935
1.63,-122.850830078125,38.8213348388672
1,-149.1802,62.9048
1.3,-151.834,60.2285
0.13,-122.18883333333333,46.200833333333335
1.93,-154.885330200195,19.4498329162598
0.2,-122.799003601074,38.837833404541
1.91,-84.22,35.2826666666667
1.35,-122.76000213623,38.820499420166
1.05,-122.759162902832,38.8213348388672
-0.4,-174.1475,52.2733333333333
1.88,-155.23616027832,19.3808326721191
1.70000005,-155.251663208008,19.3920001983643
-0.26,-176.166333333333,52.0678333333333
0.87,-122.37183333333333,46.29783333333334
1.28,-121.476829528809,37.0066680908203
0.23,-122.813003540039,38.8328323364258
0.8,-117.7354,37.8296
1.83,-121.296165466309,36.6321678161621
1.56,-121.456832885742,37.0163345336914
1.26,-97.53116667,35.07783333
1.56,-179.203333333333,51.7098333333333
1.658846378326416,-122.7300033569336,47.88666534423828
5,93.6697,10.1108
-0.22,-122.188,46.20633333333333
2.49,-123.122833251953,39.1144981384277
1.8,-103.91,31.579
2,-152.9819,59.403
4.6,-178.6159,-34.5135
1.1,-152.1273,59.9906
1.14,-115.8946667,32.6556667
1.56,-97.53566667,35.0785
0.68,-116.5471667,33.5328333
1.12,-122.766502380371,38.7873344421387
0.91,-120.2375,36.2303333333333
0.39,-176.3125,51.9183333333333
4.5,101.6493,-3.4555
1.34,-115.9586667,33.1443333
1.4,-146.799,61.2457
1,-146.4231,61.5912
2.25,-155.240166666667,19.3828333333333
1.83,-155.241333333333,19.397
0.48,-152.6455,60.8946666666667
1.08,-95.861,36.229
1.79,-119.1143333,35.1088333
1.75999999,-155.299835205078,19.3308334350586
0.67,-117.4685,35.6608333
1.7,-103.97,31.605
-0.74,-153.080166666667,60.0025
4.5,125.4514,10.778
1.3,-150.6938,62.9865
0.74,-122.799003601074,38.8363342285156
1.1,-146.9111,64.4965
1.83000004,-155.420669555664,19.2711658477783
1.13,-119.4143333,34.435
2.21,-155.240666666667,19.3846666666667
1.78999996,-155.241333007812,19.3831672668457
1.66,-117.5083333,35.7098333
2,-139.3143,59.9817
0.42,-122.148,46.0765
1.9,-155.246994018555,19.3911666870117
1.80999994,-155.248336791992,19.3858337402344
2.73,-66.7395,17.9553333333333
2,-148.1968,62.3252
1.23,-122.738502502441,38.7966651916504
1.63,-122.738670349121,38.7963333129883
0.59,-169.968666666667,52.8413333333333
1.54,-122.754501342773,38.8453330993652
2.21,-155.228333333333,19.3771666666667
1.8,-104.114,31.618
2.05999994,-155.396667480469,19.0068340301514
0.48,-178.841333333333,51.6971666666667
1.7,-97.74766667,35.01183333
1.29,-116.4285,33.421
2,-149.98,63.5117
2,-150.1707,61.7444
-0.3,-116.2782,36.7491
0.22,-178.106333333333,51.8395
1.7,-141.2822,60.1809
0.69,-122.803337097168,38.8224983215332
2.3,-104.117,31.617
