magnitude,longitude,latitude
1.6,-151.5007,61.8728
1.3,-149.2488,62.6923
2.59,-155.243499755859,19.3904991149902
1,-150.4341,64.8324
0.95,-122.813331604004,38.7888336181641
0.27,-122.826499938965,38.8129997253418
1.94,-155.224334716797,19.3718338012695
2.46,-155.490829467773,19.1895008087158
1.79,-119.1008333,35.1038333
1.5,-103.936,31.592
2.2,-104.535,31.602
1.6,-149.7948,61.8776
2.7,-147.41,63.5757
2,-104.192,31.671
5,-175.1088,52.2937
1.4,-150.6614,63.7451
1.1,-150.8992,64.8299
1.1,-150.8872,64.82
0.15,-116.8085,33.5841667
1.6,-104.547,31.591
1.89,-155.253326416016,19.3823337554932
1.83,-155.185333251953,19.3381671905518
1.57,-124.00366973877,40.3395004272461
2,-104.19,31.679
1.9,-155.352828979492,19.2298336029053
1.93,-155.22900390625,19.3906669616699
1.2,-119.8256,38.7198
0.75,-122.855499267578,38.8271675109863
1.97,-155.253326416016,19.3929996490479
2.15,-155.240005493164,19.3904991149902
1.6,-104.12,31.618
1.76999998,-155.490661621094,19.1905002593994
1.84,-155.240829467773,19.38450050354
1.75,-155.244171142578,19.3833332061768
4.3,147.913,44.4037
0.01,-116.6965,33.5866667
1.4,-154.4299,58.6022
1.8,-154.4012,58.6213
0.47,-116.8645,33.7395
4.3,-73.1202,6.7715
2.3,-115.6163333,31.4896667
2.79,-115.6176667,31.4946667
2.38,-155.233666666667,19.3788333333333
2.39,-155.235333333333,19.3816666666667
2.46,-155.248840332031,19.3976669311523
2.7,-155.240333333333,19.3841666666667
1.7124345302581787,-123.33633422851562,47.305667877197266
1.71,-155.246170043945,19.3848323822021
2.12,-66.9761666666667,17.9536666666667
1.96,-115.616,31.476
1.4,-147.3872,60.6589
1.76,-155.248336791992,19.3816661834717
1.73,-155.258331298828,19.3794994354248
4.5,-178.6209,-17.8732
2.27,-155.241166666667,19.3856666666667
2.76,-155.245834350586,19.3956661224365
1.8,-103.996,31.607
1.48,-122.1485,36.8818333333333
1.21,-122.5545,37.7416666666667
0.47,-116.7076667,33.643
2.91,-66.9158333333333,18.6238333333333
2,-104.184,31.677
2.2,-104.185,31.676
0.88,-118.574,37.524
0,-116.2632,36.5978
0.63,-118.642666666667,37.5471666666667
0.72,-122.838333129883,38.839168548584
2.1,-150.8677,63.574
1.09,-122.813003540039,38.8041648864746
3.46,-116.9833298,35.0378342
1.55,-155.246666666667,19.3988333333333
0.74,-122.7568359375,38.7770004272461
5.3,-74.3463,-16.1686
1.1,-150.5088,63.2792
1.5,-136.7149,59.2466
1.98,-155.245666503906,19.3701667785645
6.1,-74.5791,-16.1219
2.7,-154.416,18.8753
1.18,-116.7566667,33.574
2,-155.262832641602,19.3990001678467
1.1,-122.761169433594,38.8224983215332
4.9,147.0204,43.3643
4.8,122.3255,25.4252
2.5,-104.19,31.671
1.1,-149.2428,62.3696
1.4,-148.0803,64.2109
1.77,-155.25,19.3841667175293
0.92,-117.1961667,34.0171667
0.73,-122.739334106445,38.7994995117188
0.7,-149.1239,64.8335
1.01,-117.6843333,35.8641667
1.5,-152.86,59.845
2.23000002,-155.492172241211,19.1948337554932
2,-155.490325927734,19.1946659088135
1.5,-153.5366,59.7167
2.53,-155.246505737305,19.392333984375
4.7,164.5621,55.6894
4.8,144.6673,-6.5829
0.6,-149.1183,64.8277
2.29,-155.498840332031,19.1770000457764
3.39,-115.671669,31.5426674
2.61,-155.252502441406,19.3811664581299
1.9,-149.6443,61.1759
4.5,-178.4983,-15.3058
2.8,-103.37,31.944
1.09,-117.8721667,36.0816667
0.94,-116.7421667,33.6395
4.9,103.4852,-6.4907
1.72,-155.248504638672,19.3938331604004
1.72,-155.249496459961,19.3951663970947
1.78999996,-155.26350402832,19.3858337402344
5.2,-70.2167,-24.0128
1,-116.4501667,33.5291667
1.80999994,-155.2431640625,19.382999420166
0.97,-122.805335998535,38.8343315124512
0.88,-116.4435,33.4765
2.1,-146.9201,60.38
1.6,-150.6037,64.8157
3.4,-76.3306,43.7589
0.7,-146.9129,64.465
1.9,-104.201,31.664
1.84,-155.233993530273,19.3754997253418
